year,school_type,establishment,region,status,univ_name,total,degree_total,humanities,natural_science,engineering,arts_sports,medicine,joint_program,training_total,language_training,exchange,visiting,other_training,lang_qualified_total,topik4_plus,english_track,english_native,lang_qualified_ratio,dorm_deg_total,dorm_deg_in,dorm_deg_out,dorm_tr_total,dorm_tr_in,dorm_tr_out,univ_key,dorm_capacity_rate,univ_name_en,dorm_capacity,dorm_fee_min,dorm_available
2025,대학교,사립,경기,기존,평택대학교,149,42,39,1,0,2,0,0,107,95,12,0,0,41,9,32,0,97.6,42,40,2,107,89,18,평택대,86.6,PYEONGTAEK UNIVERSITY,0.0,,아니오
2025,대학교,사립,경북,기존,포항공과대학교,47,0,0,0,0,0,0,0,47,0,47,0,0,0,0,0,0,0.0,0,0,0,47,46,1,포항공과대,97.9,Pohang University of Science and Technology (POSTECH),3298.0,91.0,예
2025,대학교,국립,경기,기존,한경국립대학교,245,78,55,9,10,4,0,0,167,167,0,0,0,16,16,0,0,20.5,78,2,76,167,17,150,한경국립대,7.8,HANKYONG NATIONAL UNIVERSITY,0.0,45.0,예
2025,대학교,사립,경기,기존,한국공학대학교,529,215,21,0,194,0,0,0,314,314,0,0,0,66,66,0,0,30.7,215,13,202,314,72,242,한국공학대,16.1,TECH UNIVERSITY OF KOREA,2351.0,170.0,예
2025,대학교,특별법법인,대전,기존,한국과학기술원,481,391,20,34,337,0,0,0,90,0,87,0,3,9,9,0,0,2.3,391,320,71,90,85,5,한국과학기술원,84.2,KAIST (Korea Advanced Institute of Science and Technology),7328.0,700000.0,예
2025,대학교,국립,충북,기존,한국교원대학교,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.0,0,0,0,2,2,0,한국교원대,100.0,KOREA NATIONAL UNIVERSITY OF EDUCATION,200.0,111.0,아니오
2025,대학교,사립,충남,기존,한국기술교육대학교,75,26,2,0,24,0,0,0,49,18,31,0,0,23,23,0,0,88.5,26,17,9,49,48,1,한국기술교육대,86.7,KOREATECH(Korea University of Technology and Education),1257.0,148.0,예
2025,방송통신대학,국립,서울,기존,한국방송통신대학교,432,432,356,70,4,2,0,0,0,0,0,0,0,0,0,0,0,0.0,432,0,432,0,0,0,한국방송통신대,0.0,KOREA NATIONAL OPEN UNIVERSITY,0.0,,아니오
2025,대학교,사립,서울,기존,한국성서대학교,113,20,10,0,10,0,0,0,93,90,3,0,0,6,6,0,0,30.0,20,3,17,93,3,90,한국성서대,5.3,KOREAN BIBLE UNIVERSITY,180.0,100.0,예
2025,사이버대학(대학),사립,서울,기존,한국열린사이버대학교,30,30,10,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,30,0,30,0,0,0,한국열린사이버대,0.0,OPEN CYBER UNIVERSITY OF KOREA,0.0,,아니오
2025,각종학교(대학),특별법국립,서울,기존,한국예술종합학교,86,55,0,0,0,55,0,0,31,0,31,0,0,37,37,0,0,67.3,55,20,35,31,6,25,한국예술종합학교,30.2,,,,
2025,대학교,사립,서울,기존,한국외국어대학교,2949,2173,2145,2,26,0,0,0,776,373,335,68,0,846,680,157,9,38.9,2173,82,2091,776,299,477,한국외국어대,12.9,HANKUK UNIVERSITY OF FOREIGN STUDIES,474.0,5.0,예
2025,대학교,특별법국립,충남,기존,한국전통문화대학교,4,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,4,1,3,0,0,0,한국전통문화대,25.0,KOREAN NATIONAL UNIVERSITY OF HERITAGE,0.0,,아니오
2025,대학교,국립,서울,기존,한국체육대학교,11,11,0,0,0,11,0,0,0,0,0,0,0,10,10,0,0,90.9,11,0,11,0,0,0,한국체육대,0.0,Korea National Sport University,0.0,,아니오
2025,대학교,사립,대전,기존,한국침례신학대학교,4,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,한국침례신학대,50.0,KOREA BAPTIST THEOLOGICAL UNIVERSITY,0.0,,아니오
2025,대학교,사립,경기,기존,한국항공대학교,194,191,131,43,17,0,0,0,3,0,3,0,0,108,47,61,0,56.5,191,94,97,3,1,2,한국항공대,49.0,KOREA AEROSPACE UNIVERSITY,730.0,160.0,아니오
2025,대학교,사립,대전,기존,한남대학교,1599,605,505,7,67,26,0,0,994,964,30,0,0,218,183,35,0,36.0,605,18,587,994,67,927,한남대,5.3,HANNAM UNIVERSITY,300.0,500.0,예
2025,대학교,사립,경북,기존,한동대학교,177,139,109,4,26,0,0,5,33,0,32,1,0,66,9,28,29,47.5,139,108,31,38,37,1,한동대,81.9,HANDONG GLOBAL UNIVERSITY,568.0,160.0,예
2025,대학교,사립,강원,기존,한라대학교,196,179,157,0,15,7,0,0,17,0,17,0,0,47,16,31,0,26.3,179,0,179,17,0,17,한라대,0.0,HALLA UNIVERSITY,6.0,,예
2025,대학교,사립,강원,기존,한림대학교,168,113,107,0,5,1,0,0,55,0,55,0,0,28,21,7,0,24.8,113,33,80,55,55,0,한림대,52.4,HALLYM UNIVERSITY,2760.0,160.0,예
2025,대학교,사립,충남,기존,한서대학교,205,119,64,12,3,40,0,0,86,80,4,0,2,39,39,0,0,32.8,119,18,101,86,18,68,한서대,17.6,HANSEO UNIVERSITY,100.0,50.0,예
2025,대학교,사립,서울,기존,한성대학교,506,263,113,0,2,148,0,0,243,235,8,0,0,187,187,0,0,71.1,263,54,209,243,54,189,한성대,21.3,HANSUNG UNIVERSITY,160.0,200.0,예
2025,대학교,사립,경기,기존,한세대학교,22,14,8,0,0,6,0,0,8,0,8,0,0,5,5,0,0,35.7,14,6,8,8,8,0,한세대,63.6,HANSEI UNIVERSITY,0.0,,아니오
2025,대학교,사립,경기,기존,한신대학교,242,178,172,0,6,0,0,0,64,59,5,0,0,44,44,0,0,24.7,178,2,176,59,29,30,한신대,13.1,HANSHIN UNIVERSITY,704.0,600000.0,예
